,Sex,Age,Height,Overweight_Obese_Family,Consumption_of_Fast_Food,Frequency_of_Consuming_Vegetables,Number_of_Main_Meals_Daily,Food_Intake_Between_Meals,Smoking,Liquid_Intake_Daily,Calculation_of_Calorie_Intake,Physical_Excercise,Schedule_Dedicated_to_Technology,Type_of_Transportation_Used,Class
Sex,1.0,-0.18211446003187995,-0.6902501280186856,0.06857981489808299,0.059621211423249144,0.1460666956298854,0.04487712372867227,-0.011508000668710988,0.19660838385174753,0.01288495895908186,-0.027745407347183778,-0.08636880508432607,-0.00565566141665251,0.028804728821139797,-0.2524460391112962
Age,-0.18211446003187995,1.0,0.1154911391939493,-0.16147537362422296,-0.2726118146813567,-0.3947008351550963,0.32864161218487314,0.04705256491186837,-0.07777849307569427,0.026510200335378504,-0.20345753325134988,0.33748372621556355,-0.2548162197996023,-0.6899497871424243,0.5798120169074363
Height,-0.6902501280186856,0.1154911391939493,1.0,-0.16535870515568774,-0.0314777084752164,-0.09005668669857289,-0.05505387751160349,-0.0001856492280386112,-0.14149008800830004,-0.026459618018090346,-0.0297208791933298,0.07669827147202746,0.001915794551422064,-0.00387239677386727,0.16156293603237643
Overweight_Obese_Family,0.06857981489808299,-0.16147537362422296,-0.16535870515568774,1.0,0.25579664299858373,0.24409990472423174,-0.1835493322488118,-0.012841765647267338,0.2131653263825494,0.07169336886615484,0.2745725381920816,-0.16603318069621173,0.09421582875045406,0.09855081979952879,-0.2920414045188254
Consumption_of_Fast_Food,0.059621211423249144,-0.2726118146813567,-0.0314777084752164,0.25579664299858373,1.0,0.3403791722544066,-0.3368371093879729,-0.022823927346418513,0.2389823936514507,0.05215594016068988,0.2653098740333733,-0.32282289902263256,0.05091622380636678,0.18310247391173676,-0.38046272730904346
Frequency_of_Consuming_Vegetables,0.1460666956298854,-0.3947008351550963,-0.09005668669857289,0.24409990472423174,0.3403791722544066,1.0,-0.40058148835707424,-0.022552990468850564,0.14312950511276157,0.026496910277196806,0.20507958309176688,-0.26369368979029084,0.09994591383515881,0.23479995199097145,-0.5444957702341017
Number_of_Main_Meals_Daily,0.04487712372867227,0.32864161218487314,-0.05505387751160349,-0.1835493322488118,-0.3368371093879729,-0.40058148835707424,1.0,0.10936145433176805,-0.1076548121671488,0.04109925786510156,-0.1950500296058862,0.22673381161518005,-0.06478565233606207,-0.24018826475058988,0.5093900118895416
Food_Intake_Between_Meals,-0.011508000668710988,0.04705256491186837,-0.0001856492280386112,-0.012841765647267338,-0.022823927346418513,-0.022552990468850564,0.10936145433176805,1.0,-0.035155733091422364,0.002084250545039495,0.014729964510035533,-0.004276873773362403,-0.036054362506360474,-0.03521244396195625,0.12932735134765314
Smoking,0.19660838385174753,-0.07777849307569427,-0.14149008800830004,0.2131653263825494,0.2389823936514507,0.14312950511276157,-0.1076548121671488,-0.035155733091422364,1.0,0.06535612445168797,0.12206386146295176,-0.08958707923788774,0.04079862871781976,0.01794651170249499,-0.17852629517629146
Liquid_Intake_Daily,0.01288495895908186,0.026510200335378504,-0.026459618018090346,0.07169336886615484,0.05215594016068988,0.026496910277196806,0.04109925786510156,0.002084250545039495,0.06535612445168797,1.0,0.048060319247387996,0.019583887067331843,-0.035166850105298623,-0.00790748914845709,-0.03160823692952277
Calculation_of_Calorie_Intake,-0.027745407347183778,-0.20345753325134988,-0.0297208791933298,0.2745725381920816,0.2653098740333733,0.20507958309176688,-0.1950500296058862,0.014729964510035533,0.12206386146295176,0.048060319247387996,1.0,-0.1669959469380754,0.05485789948386998,0.13573542258902185,-0.3005457935716792
Physical_Excercise,-0.08636880508432607,0.33748372621556355,0.07669827147202746,-0.16603318069621173,-0.32282289902263256,-0.26369368979029084,0.22673381161518005,-0.004276873773362403,-0.08958707923788774,0.019583887067331843,-0.1669959469380754,1.0,-0.11756968536261352,-0.24488682222601568,0.3893545975077366
Schedule_Dedicated_to_Technology,-0.00565566141665251,-0.2548162197996023,0.001915794551422064,0.09421582875045406,0.05091622380636678,0.09994591383515881,-0.06478565233606207,-0.036054362506360474,0.04079862871781976,-0.035166850105298623,0.05485789948386998,-0.11756968536261352,1.0,0.1786746766811708,-0.09122414716919905
Type_of_Transportation_Used,0.028804728821139797,-0.6899497871424243,-0.00387239677386727,0.09855081979952879,0.18310247391173676,0.23479995199097145,-0.24018826475058988,-0.03521244396195625,0.01794651170249499,-0.00790748914845709,0.13573542258902185,-0.24488682222601568,0.1786746766811708,1.0,-0.35677172731128143
Class,-0.2524460391112962,0.5798120169074363,0.16156293603237643,-0.2920414045188254,-0.38046272730904346,-0.5444957702341017,0.5093900118895416,0.12932735134765314,-0.17852629517629146,-0.03160823692952277,-0.3005457935716792,0.3893545975077366,-0.09122414716919905,-0.35677172731128143,1.0
